Heating;Cooling
11.562;0.367
11.572;1.61
12.583;0.555
16.698;0
38.827;0
1.382;0
1.262;0
1.362;0
2.995;0
4.675;0
5.591;0
7.138;0
8.139;0
9.109;0
9.927;0
10.708;0
11.458;0
141.366;0
38.662;0
16.576;0
20.764;0
21.936;0
18.916;0
22.006;0
21.324;0
25.753;0
28.884;0
29.929;0
52.937;0
1.717;0
1.941;0
6.377;0
9.076;0
10.127;0
12.786;0
14.71;0
15.303;0
16.057;0
15.448;0
16.117;0
18.644;0
19.758;0
18.386;0
12.514;0
6.238;0
3.293;0
3.199;0
6.367;0
4.957;0
4.138;0
6.701;0
11.376;0
15.522;0
17.67;0
18.55;0
19.3;0
19.547;0
19.06;0
19.1;0
19.359;0
21.543;0
23.897;0
25.278;0
27.399;0
30.234;0
32.739;0
32.924;0
32.23;0
29.902;0
28.374;0
26.496;0
21.851;0
21.52;0
27.739;0
33.599;0
37.222;0
39.791;0
41.249;0
41.768;0
42.044;0
42.251;0
42.628;0
42.795;0
42.712;0
42.359;0
42.334;0
42.704;0
43.323;0
44.208;0
179.036;0
76.083;0
40.902;0
43.371;0
38.2;0
26.582;0
27.04;0
23.984;0
27.543;0
35.839;0
49.267;0
78.044;0
2.361;0
9.468;0
20.306;0
25.59;0
27.666;0
30.217;0
32.213;0
33.383;0
33.741;0
34.241;0
34.881;0
37.386;0
173.313;0
69.092;0
40.111;0
47.846;0
44.833;0
33.584;0
37.977;0
27.446;0
26.69;0
29.764;0
43.899;0
74.709;0
2.419;0
8.139;0
18.058;0
22.438;0
24.634;0
26.08;0
27.895;0
30.481;0
32.765;0
34.03;0
36.758;0
38.483;0
171.389;0
68.174;0
39.279;0
46.171;0
41.375;0
27.591;0
25.099;0
21.866;0
24.121;0.086
28.278;0
38.56;0
70.317;0
2.556;0
9.044;0
17.997;0
22.059;0
26.903;0
30.008;0
31.647;0
32.657;0
33.671;0
33.377;0
32.642;0
33.125;0
168.102;0
62.562;0
30.559;0
33.072;0
30.39;0
23.901;0.297
23.01;0
21.908;0.739
24.693;0.749
27.08;0
35.959;0
67.063;0
2.498;0
6.683;0
17.683;0
