Cooling,Heating
0,12.745
0,12.6735
0,12.54925
0,12.36725
0,12.23575
0,12.111
0,50.11775
0,14.03825
0,6.48775
0,8.89525
0.112,8.81825
0,7.11625
0,7.77175
0,6.593
0,6.63775
0,7.23925
0,8.00625
0,12.78875
0,0.164
0,0.356
0,2.63525
0,5.145
0,6.26075
0,6.68725
0,6.9885
0,7.26725
0,7.37625
0,7.4645
0,7.6135
0,7.87225
0,46.77875
0,10.25625
0,5.2575
0.025,7.14625
0.322,6.85825
0,5.54525
0,5.2645
0,4.85425
0.86,5.33275
0,5.634
0,5.8565
0,9.856
0,0.17575
0,0.3175
0,2.215
0,4.47275
0,5.54325
0,6.02725
0,6.222
0,6.497
0,6.68475
0,6.96725
0,7.48475
0,7.95925
0,46.61275
0,10.14325
0,5.089
0.042,7.112
0.444,6.72575
0,5.3855
0,5.21875
0,4.7215
1.165,4.895
0.099,5.02325
0,4.81425
0,8.1765
0,0.10775
0,0.103
0,0.3465
0,1.20825
0,2.2205
0,2.98525
0,3.41775
0,3.704
0,3.92875
0,4.2095
0,4.4005
0,4.53425
0,42.56375
0,7.292
0,3.318
0.072,4.85225
0.587,4.873
0.549,3.998
0,3.8065
5.223,3.2495
11.898,3.24425
4.421,3.33075
0,3.28925
0,5.56975
0,0.0695
0,0.02175
0,0.105
0,0.16625
0,0.47625
0,1.19325
0,2.07275
0,2.8115
0,3.3825
0,3.8225
0,4.1535
0,4.4885
0,41.8525
0,6.97375
0,3.46425
0.089,5.8845
0.704,6.46775
0.516,5.76725
0,5.92925
0.376,6.25625
2.005,7.37825
0,7.698
0,6.11525
0,8.73225
0,0.1685
0,0.191
0,1.24075
0,2.86225
0,3.85025
0,5.18125
0,5.989
0,6.16
0,6.44525
0,6.18725
0,6.42075
0,7.386
0,7.73
0,7.16275
0,4.772
0,2.09825
0,0.42625
0,0.28825
0,1.41975
0,1.035
0,0.7655
0,1.85325
0,4.54175
0,6.1235
0,6.76325
0,6.868
0,7.004
0,7.00825
0,6.79625
0,6.7505
0,6.79425
0,7.46825
0,8.20925
0,8.63275
0,9.2725
0,10.13325
0,10.88625
0,10.86175
0,10.5595
0,9.73125
0,9.16025
0,8.506
0,6.9545
0,6.87625
0,8.90475
0,10.74325
0,11.8525
0,12.6315
0,13.06275
0,13.19675
0,13.24625
0,13.2805
0,13.36875
0,13.38925
0,13.3325
0,13.192
0,13.1545
0,13.24175
0,13.40825
0,13.65825
0,51.226
0,16.01625
0,7.141
0.104,9.77225
0.656,9.49925
4.026,7.60325
2.081,6.6235
5.488,6.7755
3.766,8.13325
0,8.9095
0,9.11825
0,15.062
0,0.31275
0,2.2785
0,6.9905
0,8.76725
0,9.5475
0,10.336
0,10.9305
0,11.24575
0,11.29675
0,11.40825
0,11.5595
0,12.29
0,50.16875
0,14.532
0,7.75975
0.006,12.13325
0.303,11.7385
0,9.09725
0,8.812
0,7.7985
1.342,7.923
0,8.17225
0,8.327
0,14.42675
0,0.3195
0,1.994
0,6.57
0,8.33975
0,8.8725
0,9.36575
0,9.9145
0,10.7175
0,11.39025
0,11.72275
0,12.51825
0,12.98875
0,49.90575
0,14.5695
0,7.7355
0.008,11.85725
0.408,11.32975
0,8.1275
0,6.90875
2.529,6.55325
2.802,7.28125
0,7.932
0,7.5165
0,13.21075
0,0.34675
0,2.30775
0,6.6495
0,8.42675
0,9.84725
0,10.841
0,11.32775
0,11.6035
0,11.87625
0,11.703
0,11.39375
0,11.4805
0,49.05275
0,12.966
0,5.5595
0.286,8.9645
4.346,9.007
8.869,7.29625
3.627,6.37425
6.761,6.48475
5.706,7.3315
0.038,7.986
0,7.31225
0,12.1095
0,0.32025
0,1.47075
0,6.14575
0,8.541
0,9.48675
0,10.50625
0,11.2895
0,11.8105
0,12.43375
0,12.68775
0,12.9635
0,13.50525
0,51.64725
0,17.01375
0,7.224
0.369,12.2365
8.707,12.111
12.731,9.4465
7.516,7.82675
14.676,7.413
13.615,7.885
3.645,8.38875
0,7.2765
0,12.2425
0,0.43375
0,2.83575
0,7.727
0,9.904
0,10.919
0,11.504
0,12.277
0,12.9755
0,13.65475
0,14.444
0,14.77825
0,14.86
0,15.3545
0,14.57975
0,8.54225
0,5.27725
0,3.176
0,2.507
0,2.201
0,2.058
0,1.927
0,2.58225
0,5.12775
0,9.23
0,11.5195
0,12.603
0,13.169
0,13.6385
0,14.09
0,14.69325
0,14.90625
0,15.147
0,15.55425
0,16.14375
0,16.47925
0,16.7015
0,16.94475
0,15.5
0,9.1965
0,5.1115
0,2.25475
0,1.42325
0,0.98775
0,0.845
0,1.448
0,3.3395
0,6.135
0,10.4185
0,11.21825
0,11.3685
0,11.44975
