Heating;Cooling
23.70845;0
27.1472;0
18.91575;0
15.99945;0
15.8093;0
22.79745;0
28.96175;0
32.5748;0
48.2415;0
53.4804;0
39.2433;0
29.88865;0
26.45505;0
24.10845;0
25.002;0
25.089;0
25.014;0
25.209;0
27.6033;0
38.1681;0
44.1713;0
31.4072;0
25.38345;0
23.33815;0
26.36345;0
29.9192;0
22.15075;0
20.50845;0
19.5163;0
26.30945;0
31.68375;0
34.7138;0
49.9905;0
55.0904;0
41.7373;0
32.80365;0
29.48305;0
26.83345;0
27.667;0
28.647;0
28.889;0
28.7;0
30.5903;0
40.9671;0
48.0043;0
35.4752;0
30.86145;0
27.26315;0
22.45845;0
24.4082;0
19.74375;0
19.04445;0
20.5543;0
24.03845;0
30.14175;0
35.1178;0
50.2115;0
56.7844;0
45.7863;0
37.09965;0
33.80405;0
31.06345;0
31.894;0
32.74;0
33.653;0
34.277;0
36.0343;0
45.9161;0
52.3283;0
38.9612;0
35.98945;0
30.37915;0
26.50045;0
31.6982;0
31.71575;0
29.98745;0
29.2343;0
30.65745;0
35.12175;0
39.2178;0
53.3305;0
59.1344;0
44.8563;0
38.02665;0
35.33905;0
32.70045;0
33.419;0
33.815;0
33.444;0
33.03;0
34.5203;0
44.1641;0
50.6183;0
38.3942;0
34.18745;0
29.03115;0
31.11345;0
33.8112;0
27.32775;0
24.35645;0
21.3523;0
25.44145;0
28.35075;0
29.7118;0
44.3425;0
48.6684;0
32.2843;0
24.16265;0
21.12805;0
18.83445;0
19.71;0
19.938;0
19.769;0
19.784;0
21.5103;0
31.3061;0
37.9233;0
26.1452;0
20.08945;0
17.60315;0
21.00345;0
24.8892;0
17.18575;0
15.58345;0
14.6533;0
19.91645;0
24.03375;0
25.8648;0
41.2605;0
47.5554;0
36.0463;0
28.29065;0
25.06605;0
22.57945;0
23.73;0
24.896;0
25.706;0
26.027;0
28.0863;0
38.5801;0
45.7543;0
34.2722;0
31.24645;0
24.01815;0
19.05145;0
16.8452;0
12.81275;0
9.75845;0
8.4183;0
10.95045;0
21.51175;0
28.2198;0
44.7345;0
50.1574;0
33.5523;0
25.57265;0
23.13005;0
21.19145;0
22.512;0
23.877;0
24.861;0
25.613;0
27.5793;0
36.8751;0
42.7213;0
30.3222;0
24.20145;0
