Time,borFie.TBorAve
4.156128e+08,284.3367
4.156164e+08,284.33813
4.1562e+08,284.34363
4.156236e+08,284.35245
4.156272e+08,284.36288
4.156308e+08,284.37286
4.156344e+08,284.38068
4.15638e+08,284.38513
4.156416e+08,284.38538
4.156452e+08,284.38092
4.156488e+08,284.37308
4.156524e+08,284.36447
4.15656e+08,284.35648
4.156596e+08,284.3492
4.156632e+08,284.34274
4.156668e+08,284.3369
4.156704e+08,284.33145
4.15674e+08,284.32663
4.156776e+08,284.32236
4.156812e+08,284.3177
4.156848e+08,284.31223
4.156884e+08,284.30527
4.15692e+08,284.29626
4.156956e+08,284.22018
4.156992e+08,284.1182
4.157028e+08,284.1605
4.157064e+08,284.2121
4.1571e+08,284.25705
4.157136e+08,284.31168
4.157172e+08,284.35782
4.157208e+08,284.3891
4.157244e+08,284.42166
4.15728e+08,284.44235
4.157316e+08,284.43964
4.157352e+08,284.419
4.157388e+08,284.4059
4.157424e+08,284.41013
4.15746e+08,284.41418
4.157496e+08,284.41556
4.157532e+08,284.4111
4.157568e+08,284.40112
4.157604e+08,284.38977
4.15764e+08,284.3796
4.157676e+08,284.37024
4.157712e+08,284.36276
4.157748e+08,284.35696
4.157784e+08,284.34964
4.15782e+08,284.27554
4.157856e+08,284.17334
4.157892e+08,284.2052
4.157928e+08,284.23587
4.157964e+08,284.24707
4.158e+08,284.25568
4.158036e+08,284.2667
4.158072e+08,284.27817
4.158108e+08,284.29282
4.158144e+08,284.30737
4.15818e+08,284.31357
4.158216e+08,284.31293
4.158252e+08,284.31723
4.158288e+08,284.33826
4.158324e+08,284.35422
4.15836e+08,284.3633
4.158396e+08,284.36407
4.158432e+08,284.35956
4.158468e+08,284.35336
4.158504e+08,284.34695
4.15854e+08,284.34076
4.158576e+08,284.3348
4.158612e+08,284.3293
4.158648e+08,284.3243
4.158684e+08,284.25534
4.15872e+08,284.15924
4.158756e+08,284.19513
4.158792e+08,284.22928
4.158828e+08,284.24612
4.158864e+08,284.26608
4.1589e+08,284.29178
4.158936e+08,284.3192
4.158972e+08,284.35754
4.159008e+08,284.38315
4.159044e+08,284.38666
4.15908e+08,284.37753
4.159116e+08,284.37402
4.159152e+08,284.3829
4.159188e+08,284.39053
