Koudelevering TOTAAL [kW];Warmtelevering TOTAAL [kW]
0;122,869593
0;184,399312
0;194,98814
0;225,614437
0;189,321234
0;257,880687
0;242,35625
0;251,028453
0;229,120281
0;171,566671
0;239,180546
0;239,481125
0;880,19321
0;761,272648
0;811,863093
0;734,56589
0;429,731101
0;376,264718
0;169,683398
0;217,656664
0;282,705772
0;162,563561
0;99,415244
0;100,274562
0;178,605565
0;392,749136
0;543,097546
0;166,956945
0;242,724889
0;333,823148
0;392,911335
0;369,899757
0;87,167757
0;165,234859
0;180,012828
0;241,115187
0;942,698703
0;769,167914
0;688,125671
0;677,819288
0;363,737312
0;313,919757
0;195,08153
0;166,020944
0;218,760929
0;168,740054
0;106,555549
0;78,413484
0;185,295968
0;385,666554
0;560,21882
0;177,758554
0;236,015179
0;265,267382
0;334,636765
0;370,635452
0;61,402355
0;127,973656
0;86,305609
0;160,387984
0;893,43546
0;718,051007
0;721,406445
0;599,784616
0;359,703507
0;235,340937
0;95,488772
0;37,457608
0,005678;51,961734
0,005459;30,606767
0,005459;10,722484
0;59,457287
0;156,733778
0;349,780385
0;488,341401
0;136,331487
0;166,177929
0;186,920382
0;245,241147
0;263,106303
0;101,851656
0;88,498953
0;123,564757
0;133,101953
0;757,682308
0;643,712212
0;569,059729
0;459,398152
0;253,456079
0;223,936255
0;158,487614
0;130,138108
0;223,00937
0;137,00898
0;101,51654
0;108,150883
0;169,994787
0;337,60646
0;459,077175
0;117,225569
0;137,369522
0;172,80753
0;172,444272
0;161,859984
0;63,292867
0;44,674445
0;46,987523
0;51,619363
0,00535;626,905312
0,00535;518,688156
0,00535;395,613593
0,005241;284,827031
0,005459;78,710734
0,005459;45,625105
0,005678;22,60664
0,005459;5,249019
0,005023;18,245369
0,005241;0,723888
1,281562;0
9,370324;0
0,005459;6,260583
0,005023;150,961437
0,005241;280,369593
0;8,659643
0;17,603377
0;18,069187
0;27,030602
0;44,592114
0;2,939682
0;4,357977
0;6,298589
0;8,681696
0;11,193291
0;18,311302
0;22,404337
0;82,813875
0;83,118101
0;15,749791
0;5,772485
0;31,922726
0;27,479509
0;23,413113
0;22,223337
0;40,716449
0;84,402117
0;105,557093
0;126,460929
0;133,346703
0;135,761281
0;145,393437
0;145,493812
0;154,651296
0;114,265304
0;147,801281
0;151,595609
0;153,256484
0;154,579828
0;128,351687
0;159,657265
0;92,699375
0;128,736281
0;128,39264
0;93,401804
0;91,94357
0;77,301273
0;76,477515
0;88,599414
0;105,37964
0;122,8215
0;138,498531
0;134,064671
0;132,413703
0;132,258453
0;132,768921
0;119,682992
0;121,605101
0;124,749335
0;127,432687
0;126,799742
0;127,095218
0,005023;758,728437
0,004804;616,302187
0,005241;502,243906
0,005241;428,146875
0,005241;180,735531
0,005023;146,115671
0,005241;85,559507
0,005241;99,854
0,005241;194,596093
0,005023;109,228062
0,005023;76,702046
0,005023;105,116492
0,005241;146,560953
0,004804;334,02575
0,005023;447,919312
0,003931;27,90988
0,003712;53,659132
0,003931;72,283804
0,003494;93,752335
0,003931;129,715765
0;41,40296
0;43,84196
0;45,192242
0;50,41771
0,004804;695,55825
0,004804;585,0035
0,005023;500,197093
0,005023;390,719093
0,005023;181,414484
0,005241;111,545742
0,005241;51,173695
0,005023;31,559085
0,005132;70,310484
0,005023;29,9548
0,005132;15,546573
0,005241;16,022189
0,005023;50,666621
0,004804;231,806062
0,004804;367,862718
0;37,154803
0;61,863819
0;98,880483
0;108,473549
0;102,574059
0;27,186416
0;46,707007
0;32,874183
0;34,922308
0,005023;584,820437
0,005023;519,558375
0,005023;416,793968
0,005023;308,875656
0,005241;97,779851
0,005023;72,154921
0,005241;54,021722
0,005241;25,97738
0,005241;51,730882
0,005241;7,216224
0,005241;18,510923
0,005023;21,694613
0,005459;38,106949
0,004804;180,448031
0,005023;282,277937
0,004367;4,270128
0,003931;5,379162
0;28,753362
0;27,954968
0;123,030288
0;5,895412
0;6,748385
0;10,617547
0;12,923694
0,005241;516,61625
0,00535;431,750437
0;369,436745
0,005459;264,385281
0,005678;57,714093
0,005241;23,777373
0,005678;13,899553
0,005896;5,581302
0,005678;4,99708
0,005459;0
0,005678;0
0,005678;1,820339
0,005459;0,245733
0,005459;72,891882
0,005241;235,710328
0;61,319859
0;91,254649
0;79,247492
0;118,16491
0;80,049864
0;2,804225
0;5,345549
0;7,60724
0;10,671502
0,005678;495,605593
0,005678;415,616843
0,005459;349,089218
0,005459;245,297109
0,005678;45,553324
0,005678;25,949386
0,005896;13,256856
0,005896;3,647487
0,005459;35,950308
0,005896;0
0,005896;2,194618
0,005678;5,571214
0,005241;15,999898
0,005241;132,667671
0,005459;285,81975
0;84,616685
0;75,895232
0;98,676139
0;133,685963
0;171,928539
0;67,697546
0;72,046804
0;82,981507
0;85,537343
0;91,837804
0;102,578234
0;93,519367
0;72,810617
0;101,466445
0;64,21346
0;55,626371
0;67,076796
0;44,722335
0;72,095234
0;78,343156
0;19,305812
0;17,674996
0;20,629488
0;70,939851
0;104,040359
0;121,555187
0;132,855609
0;116,958929
0;128,815742
0;89,219171
0;96,029875
0;102,894984
0;153,625265
0;165,691359
0;168,545375
0;208,399953
0;207,720234
0;181,077609
0;110,155687
0;63,080402
0;29,456726
0;30,734837
0;25,656757
0;35,215851
0;46,590628
0;67,170703
0;117,265179
0;137,658062
0;149,379546
0;135,693031
0;135,726906
0;109,324789
0;112,811625
0;115,857773
0;118,117257
0;77,224281
0;119,725968
0,005241;745,844437
0,005241;596,687125
0,005241;550,2245
0,005023;457,70975
0,005241;241,134968
0,005023;147,196406
0,005023;117,883992
0,005023;58,539765
0,005023;193,223859
0,004804;114,297117
0,005023;67,385625
0,004804;57,598621
0,004804;84,209476
0,005023;316,377656
0,004804;440,512406
0,00404;29,579796
0,00404;53,562972
0;95,624972
0;93,775444
0;144,065585
0;56,501343
0;44,006609
0;96,790625
0;90,717375
0,005241;695,52825
0,005241;591,447812
0,005241;514,939156
0,005241;379,139812
0,005023;161,22339
0,005023;116,558695
0,005023;19,58322
0,005023;9,466086
0,005023;76,97339
0,005023;21,619308
0,004804;51,544347
0,004804;68,357242
0,004804;114,92439
0,005023;259,826812
0,004804;396,3655
0,004367;23,02758
0,003931;38,262121
0,003931;33,176792
0;80,162434
0;95,766806
0;46,120648
0;33,297238
0;36,642191
0;39,929738
0,005132;604,327187
0,005132;537,047062
0,005241;432,447312
0,004804;320,392343
0,005023;69,407781
0,005023;33,435234
0,005241;14,878169
0,005241;9,273701
0,005241;40,468613
0,005023;9,505472
0,005241;8,718895
0,005241;10,725445
0,005241;12,89538
0,005023;131,685093
0,005023;316,484187
0,00404;3,652933
0,004149;2,481789
0,003931;11,959056
0,003931;18,179167
0,004149;22,294708
0;48,13064
0;58,987187
0;66,880734
0;76,374007
0;667,351684
0;569,208685
0;491,036069
0;383,594068
0,005896;164,956859
0,005241;70,993398
