KOLOM;RIJ;ID;X;Y;Z;;ID_RVT;NOTA_RVT
8;5;008-005;28,35;32,4;-2,5;;11157933;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
8;6;008-006;28,35;40,5;-1;;11157932;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
8;7;008-007;28,35;48,6;-1;;11157931;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
8;8;008-008;28,35;56,7;-1;;11157930;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
8;9;008-009;28,35;64,8;-1;;11157929;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
8;10;008-010;28,35;72,9;-1;;11157928;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
8;11;008-011;28,35;81;-1;;11157927;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
8;12;008-012;28,35;89,1;-1;;11157926;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal niet onder tramsporen optie 2
8;13;008-013;28,35;97,2;-1;;11157925;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
8;14;008-014;28,35;105,3;-1;;11157924;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
8;15;008-015;28,35;113,4;-1;;11159696;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
8;16;008-016;28,35;121,5;-1;;11159695;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld thv OV terminal onder tramsporen optie 2
9;1;009-001;32,4;4;-1;;11157951;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;2;009-002;32,4;12,1;-1;;11157950;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;4;009-004;32,4;28,3;-5;;11157948;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;5;009-005;32,4;36,4;-5;;11157947;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;6;009-006;32,4;44,5;-1;;11157946;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;7;009-007;32,4;52,6;-1;;11157945;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;8;009-008;32,4;60,7;-1;;11157944;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
9;9;009-009;32,4;68,8;-1;;11157943;NLRS_50_ME_UN_ruimtecomponent beo veld_gen_CGA: BEO veld onder kantoor & hotel optie 2
