Totale koudelevering [kW];Totale warmtelevering [kW];Totale warmtelevering [kW] SWW
2,69202;36,62711;85,57
2,83419;32,21276;54,09
3,51448;23,64214;45,16
3,82571;15,36776;40,70
2,43776;38,57083;36,23
3,41213;26,93671;40,70
4,24532;27,25332;40,70
4,31847;46,62345;40,70
3,5669;73,16054;40,70
1,75038;104,20377;139,36
1,15909;135,45935;76,64
1,12574;93,08159;40,70
1,10346;100,25118;49,63
1,08688;103,13415;20,98
1,07236;112,15935;4,01
1,05958;116,95125;2,68
1,04716;111,86993;2,68
1,03481;117,37149;2,68
1,02344;117,3848;7,14
1,01369;111,97669;11,60
1,00464;190,58458;17,41
0,99484;182,35843;94,50
0,98492;165,77289;90,03
1,51372;150,68291;85,57
2,8743;109,73676;85,57
3,08596;63,12014;54,09
6,83068;31,00163;45,16
4,61999;36,71515;40,70
2,77704;5,41372;36,23
4,0386;27,85385;40,70
4,88724;26,66414;40,70
4,89989;42,04529;40,70
4,03383;74,05503;40,70
1,86346;104,68128;139,36
1,249;141,86614;76,64
1,20958;106,71375;40,70
1,18097;130,40867;49,63
1,15688;142,98704;20,98
1,13653;146,50854;4,01
1,1196;150,12364;2,68
1,10379;138,04511;2,68
1,08732;143,80689;2,68
1,07078;155,127;7,14
1,05493;157,8843;11,60
1,04115;229,58509;17,41
1,02817;225,59652;94,50
1,01654;202,73776;90,03
1,5445;182,03371;85,57
2,97917;133,66474;85,57
3,24807;111,33687;54,09
4,36881;74,33875;45,16
4,52306;73,88542;40,70
2,62175;88,86211;36,23
3,8965;52,38816;40,70
4,7514;58,61441;40,70
4,89975;51,84373;40,70
4,06132;95,34582;40,70
1,84482;124,95293;139,36
1,23403;134,04686;76,64
1,19615;133,94038;40,70
1,16895;143,71829;49,63
1,14623;153,91002;20,98
1,12592;167,5419;4,01
1,10774;172,40865;2,68
1,09107;156,28343;2,68
1,07577;157,22673;2,68
1,06394;143,13009;7,14
1,05573;123,95781;11,60
1,04987;191,63637;17,41
1,04813;138,3034;94,50
1,04744;108,32301;90,03
1,58337;95,07435;85,57
3,1284;38,74573;85,57
3,40691;33,05243;54,09
4,3453;24,59821;45,16
4,61025;15,64684;40,70
2,61543;17,80371;36,23
50,17628;59,51277;40,70
48,88718;58,51468;40,70
46,56479;62,14008;40,70
44,85152;75,78964;40,70
42,8755;83,29742;139,36
41,34523;101,34591;76,64
41,3127;62,92006;40,70
41,99917;102,63151;49,63
0,38269;53,82832;20,98
0,38897;35,53574;4,01
42,19316;76,6611;2,68
42,18343;67,54354;2,68
41,44877;66,9859;2,68
41,43689;67,36942;7,14
41,4288;67,75402;11,60
41,6591;138,45852;17,41
41,16401;131,83962;94,50
41,87618;120,71912;90,03
42,6456;102,01157;85,57
43,85828;69,90243;85,57
43,47388;66,0023;54,09
43,35839;61,86413;45,16
42,25923;53,57423;40,70
40,53083;52,34858;36,23
2,21907;10,38335;40,70
42,74126;51,39146;40,70
42,79697;55,62503;40,70
41,9539;69,63668;40,70
40,68593;74,91027;139,36
0,525;51,38465;76,64
0,73381;16,84627;40,70
1,01939;18,32669;49,63
1,05175;20,18346;20,98
0,9984;23,13381;4,01
1,03159;28,26336;2,68
1,08619;24,84011;2,68
1,16386;27,61156;2,68
1,15596;29,59485;7,14
1,14828;31,34953;11,60
1,13907;53,21207;17,41
1,13105;49,35411;94,50
1,12135;57,34517;90,03
1,10734;80,51455;85,57
1,10178;55,4905;85,57
1,12795;26,82206;54,09
5,23012;30,98594;45,16
17,72115;16,49365;40,70
20,61803;8,87405;36,23
15,91773;8,22708;40,70
8,32439;3,0194;40,70
1,34908;11,61265;40,70
0,94114;18,64254;40,70
0,96464;25,8947;139,36
0,96501;29,19267;76,64
0,99258;31,38317;40,70
0,89707;19,14421;49,63
0,95279;26,14663;20,98
1,00994;24,39938;4,01
1,04365;47,14651;2,68
1,12388;25,54985;2,68
1,117;35,16331;2,68
1,10959;37,67484;7,14
1,10366;33,70686;11,60
1,09885;47,03748;17,41
1,09392;51,40625;94,50
1,09127;40,38848;90,03
1,0886;35,58864;85,57
1,08685;35,19665;85,57
1,08328;29,18812;54,09
0,97346;22,46692;45,16
1,07066;9,71733;40,70
1,04687;15,17587;36,23
1,08491;15,39812;40,70
0,8993;18,96064;40,70
0,9187;24,73207;40,70
0,9115;29,55853;40,70
0,80617;30,62291;139,36
0,79546;30,65642;76,64
0,78365;46,50973;40,70
0,83548;64,17312;49,63
0,87383;33,10048;20,98
0,93454;42,1296;4,01
0,93185;43,07715;2,68
0,97164;33,58311;2,68
1,05383;43,90707;2,68
1,04954;45,13461;7,14
1,04504;48,93107;11,60
